day_name,sub_cat_1,view,cart,cart_pct,purchase,purchase_pct,cvr,total_price,pct_day
Friday,smartphone,1456292,83338,0.057,46572,0.559,0.032,742456575.0,0.439
Saturday,smartphone,1410135,76028,0.054,43054,0.566,0.031,709399764.0,0.439
Sunday,smartphone,1477861,77149,0.052,43870,0.569,0.03,749199581.0,0.439
Monday,smartphone,1375034,69840,0.051,45048,0.645,0.033,690023180.0,0.442
Tuesday,smartphone,1683448,82972,0.049,52355,0.631,0.031,853178680.0,0.436
Wednesday,smartphone,1684631,81444,0.048,55264,0.679,0.033,850974578.0,0.442
Thursday,smartphone,1658158,80073,0.048,52740,0.659,0.032,838972462.0,0.45
Friday,video,170770,6632,0.039,3557,0.536,0.021,79003977.0,0.047
Sunday,video,173073,6410,0.037,3582,0.559,0.021,80376728.0,0.047
Saturday,video,166649,6048,0.036,3399,0.562,0.02,76771327.0,0.048
Monday,video,152941,5211,0.034,3238,0.621,0.021,70728863.0,0.045
Tuesday,video,192938,6186,0.032,3666,0.593,0.019,89854087.0,0.046
Wednesday,video,188715,5728,0.03,4016,0.701,0.021,86967893.0,0.045
Thursday,video,184747,5590,0.03,3865,0.691,0.021,85622553.0,0.046
Friday,notebook,152486,2984,0.02,2281,0.764,0.015,110152195.0,0.065
Friday,kitchen,624883,11429,0.018,8413,0.736,0.013,154247631.0,0.091
Saturday,kitchen,608626,10866,0.018,8277,0.762,0.014,151823456.0,0.094
Saturday,notebook,145385,2550,0.018,2007,0.787,0.014,104654051.0,0.065
Sunday,kitchen,646612,10974,0.017,9107,0.83,0.014,160762047.0,0.094
Sunday,notebook,152985,2528,0.017,2059,0.814,0.013,111808084.0,0.066
Monday,kitchen,566518,9281,0.016,7631,0.822,0.013,140328968.0,0.09
Tuesday,kitchen,716379,10647,0.015,9137,0.858,0.013,174616246.0,0.089
Wednesday,kitchen,694081,9616,0.014,9168,0.953,0.013,167271308.0,0.087
Thursday,kitchen,656051,8689,0.013,8745,1.006,0.013,159363747.0,0.085
Monday,notebook,139081,1848,0.013,1984,1.074,0.014,102185225.0,0.065
Wednesday,notebook,173023,2083,0.012,2591,1.244,0.015,127100402.0,0.066
Tuesday,notebook,175588,1934,0.011,2354,1.217,0.013,129367107.0,0.066
Thursday,notebook,166275,1700,0.01,2314,1.361,0.014,123990100.0,0.066
